;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.37.34.325 E012.38.20.131 N055.37.34.092 E012.38.21.028 COLOR_TaxiwayBorder ; K3 + A
N055.37.34.092 E012.38.21.028 N055.37.33.529 E012.38.22.720 COLOR_TaxiwayBorder ; K3 + A
N055.37.33.529 E012.38.22.720 N055.37.32.842 E012.38.24.540 COLOR_TaxiwayBorder ; K3 + A
N055.37.32.842 E012.38.24.540 N055.37.29.931 E012.38.32.422 COLOR_TaxiwayBorder ; K3 + A
N055.37.29.931 E012.38.32.422 N055.37.29.121 E012.38.34.510 COLOR_TaxiwayBorder ; K3 + A
N055.37.29.121 E012.38.34.510 N055.37.28.503 E012.38.35.880 COLOR_TaxiwayBorder ; K3 + A
N055.37.28.503 E012.38.35.880 N055.37.27.926 E012.38.37.088 COLOR_TaxiwayBorder ; K3 + A
N055.37.27.926 E012.38.37.088 N055.37.27.047 E012.38.38.554 COLOR_TaxiwayBorder ; K3 + A
N055.37.27.047 E012.38.38.554 N055.37.26.717 E012.38.39.007 COLOR_TaxiwayBorder ; K3 + A
N055.37.26.717 E012.38.39.007 N055.37.26.607 E012.38.39.079 COLOR_TaxiwayBorder ; K3 + A
N055.37.26.607 E012.38.39.079 N055.37.26.429 E012.38.39.128 COLOR_TaxiwayBorder ; K3 + A
N055.37.26.429 E012.38.39.128 N055.37.25.907 E012.38.39.093 COLOR_TaxiwayBorder ; K3 + A
N055.37.25.907 E012.38.39.093 N055.37.25.193 E012.38.38.952 COLOR_TaxiwayBorder ; K3 + A
N055.37.25.193 E012.38.38.952 N055.37.24.342 E012.38.38.685 COLOR_TaxiwayBorder ; K3 + A
N055.37.24.342 E012.38.38.685 N055.37.23.875 E012.38.38.461 COLOR_TaxiwayBorder ; K3 + A
N055.37.23.875 E012.38.38.461 N055.37.23.367 E012.38.38.214 COLOR_TaxiwayBorder ; K3 + A
N055.37.23.367 E012.38.38.214 N055.37.22.858 E012.38.37.998 COLOR_TaxiwayBorder ; K3 + A
N055.37.22.858 E012.38.37.998 N055.37.22.597 E012.38.37.864 COLOR_TaxiwayBorder ; K3 + A
N055.37.22.597 E012.38.37.864 N055.37.22.515 E012.38.37.799 COLOR_TaxiwayBorder ; K3 + A
N055.37.22.515 E012.38.37.799 N055.37.22.446 E012.38.37.706 COLOR_TaxiwayBorder ; K3 + A
N055.37.22.446 E012.38.37.706 N055.37.22.433 E012.38.37.517 COLOR_TaxiwayBorder ; K3 + A
N055.37.22.433 E012.38.37.517 N055.37.22.419 E012.38.35.795 COLOR_TaxiwayBorder ; K3 + A
N055.37.22.419 E012.38.35.795 N055.37.22.461 E012.38.35.435 COLOR_TaxiwayBorder ; K3 + A
N055.37.22.461 E012.38.35.435 N055.37.22.525 E012.38.35.195 COLOR_TaxiwayBorder ; K3 + A @ A
N055.37.22.525 E012.38.35.195 N055.37.28.763 E012.38.18.314 COLOR_TaxiwayBorder ; K3 + A @ A
;
;
N055.37.22.556 E012.38.40.123 N055.37.23.051 E012.38.40.024 COLOR_TaxiwayBorder ; F + A + Z Start A
N055.37.23.051 E012.38.40.024 N055.37.23.572 E012.38.40.017 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.572 E012.38.40.017 N055.37.24.081 E012.38.40.140 COLOR_TaxiwayBorder ; F + A + Z
N055.37.24.081 E012.38.40.140 N055.37.24.342 E012.38.40.250 COLOR_TaxiwayBorder ; F + A + Z
N055.37.24.342 E012.38.40.250 N055.37.24.822 E012.38.40.693 COLOR_TaxiwayBorder ; F + A + Z
N055.37.24.822 E012.38.40.693 N055.37.25.138 E012.38.41.078 COLOR_TaxiwayBorder ; F + A + Z
N055.37.25.138 E012.38.41.078 N055.37.25.399 E012.38.41.558 COLOR_TaxiwayBorder ; F + A + Z
N055.37.25.399 E012.38.41.558 N055.37.25.399 E012.38.42.214 COLOR_TaxiwayBorder ; F + A + Z
N055.37.25.399 E012.38.42.214 N055.37.25.220 E012.38.43.313 COLOR_TaxiwayBorder ; F + A + Z
N055.37.25.220 E012.38.43.313 N055.37.24.973 E012.38.44.257 COLOR_TaxiwayBorder ; F + A + Z
N055.37.24.973 E012.38.44.257 N055.37.24.740 E012.38.44.978 COLOR_TaxiwayBorder ; F + A + Z
N055.37.24.740 E012.38.44.978 N055.37.24.616 E012.38.45.290 COLOR_TaxiwayBorder ; F + A + Z
N055.37.24.616 E012.38.45.290 N055.37.24.039 E012.38.46.207 COLOR_TaxiwayBorder ; F + A + Z
N055.37.24.039 E012.38.46.207 N055.37.23.943 E012.38.46.303 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.943 E012.38.46.303 N055.37.23.875 E012.38.46.303 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.875 E012.38.46.303 N055.37.23.778 E012.38.46.279 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.778 E012.38.46.279 N055.37.23.682 E012.38.46.245 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.682 E012.38.46.245 N055.37.23.600 E012.38.46.148 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.600 E012.38.46.148 N055.37.23.490 E012.38.46.039 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.490 E012.38.46.039 N055.37.23.284 E012.38.45.589 COLOR_TaxiwayBorder ; F + A + Z
N055.37.23.284 E012.38.45.589 N055.37.22.900 E012.38.44.507 COLOR_TaxiwayBorder ; F + A + Z
N055.37.22.900 E012.38.44.507 N055.37.22.707 E012.38.43.666 COLOR_TaxiwayBorder ; F + A + Z
N055.37.22.707 E012.38.43.666 N055.37.22.639 E012.38.43.306 COLOR_TaxiwayBorder ; F + A + Z
N055.37.22.639 E012.38.43.306 N055.37.22.611 E012.38.43.107 COLOR_TaxiwayBorder ; F + A + Z
N055.37.22.611 E012.38.43.107 N055.37.22.597 E012.38.42.770 COLOR_TaxiwayBorder ; F + A + Z
N055.37.22.597 E012.38.42.770 N055.37.22.570 E012.38.40.480 COLOR_TaxiwayBorder ; F + A + Z
N055.37.22.570 E012.38.40.480 N055.37.22.556 E012.38.40.123 COLOR_TaxiwayBorder ; F + A + Z start F
;
;
N055.37.20.085 E012.38.41.794 N055.37.21.059 E012.38.40.903 COLOR_TaxiwayBorder ; F + D @ F
N055.37.21.059 E012.38.40.903 N055.37.21.870 E012.38.43.958 COLOR_TaxiwayBorder ; F + D
N055.37.21.870 E012.38.43.958 N055.37.22.295 E012.38.45.712 COLOR_TaxiwayBorder ; F + D
N055.37.22.295 E012.38.45.712 N055.37.22.501 E012.38.46.773 COLOR_TaxiwayBorder ; F + D
N055.37.22.501 E012.38.46.773 N055.37.22.652 E012.38.47.683 COLOR_TaxiwayBorder ; F + D
N055.37.22.652 E012.38.47.683 N055.37.22.790 E012.38.48.668 COLOR_TaxiwayBorder ; F + D
N055.37.22.790 E012.38.48.668 N055.37.22.817 E012.38.48.905 COLOR_TaxiwayBorder ; F + D
N055.37.22.817 E012.38.48.905 N055.37.22.790 E012.38.49.534 COLOR_TaxiwayBorder ; F + D
N055.37.22.790 E012.38.49.534 N055.37.22.666 E012.38.50.179 COLOR_TaxiwayBorder ; F + D
N055.37.22.666 E012.38.50.179 N055.37.22.501 E012.38.50.684 COLOR_TaxiwayBorder ; F + D
N055.37.22.501 E012.38.50.684 N055.37.22.062 E012.38.51.285 COLOR_TaxiwayBorder ; F + D
N055.37.22.062 E012.38.51.285 N055.37.21.664 E012.38.51.528 COLOR_TaxiwayBorder ; F + D
N055.37.21.664 E012.38.51.528 N055.37.21.238 E012.38.51.638 COLOR_TaxiwayBorder ; F + D
N055.37.21.238 E012.38.51.638 N055.37.20.702 E012.38.51.628 COLOR_TaxiwayBorder ; F + D
N055.37.20.702 E012.38.51.628 N055.37.19.947 E012.38.51.219 COLOR_TaxiwayBorder ; F + D
N055.37.19.947 E012.38.51.219 N055.37.19.384 E012.38.50.577 COLOR_TaxiwayBorder ; F + D
N055.37.19.384 E012.38.50.577 N055.37.18.230 E012.38.49.207 COLOR_TaxiwayBorder ; F + D
N055.37.18.230 E012.38.49.207 N055.37.18.038 E012.38.48.809 COLOR_TaxiwayBorder ; F + D
N055.37.18.038 E012.38.48.809 N055.37.17.969 E012.38.48.569 COLOR_TaxiwayBorder ; F + D
N055.37.17.969 E012.38.48.569 N055.37.17.928 E012.38.48.232 COLOR_TaxiwayBorder ; F + D
N055.37.17.928 E012.38.48.232 N055.37.17.915 E012.38.47.865 COLOR_TaxiwayBorder ; F + D
N055.37.17.915 E012.38.47.865 N055.37.17.950 E012.38.47.568 COLOR_TaxiwayBorder ; F + D @ D
N055.37.17.950 E012.38.47.568 N055.37.20.085 E012.38.41.794 COLOR_TaxiwayBorder ; F + D
;
;
N055.37.16.660 E012.38.51.058 N055.37.16.885 E012.38.50.687 COLOR_TaxiwayBorder ; D + Z + B @ D
N055.37.16.885 E012.38.50.687 N055.37.17.132 E012.38.50.570 COLOR_TaxiwayBorder ; D + Z + B
N055.37.17.132 E012.38.50.570 N055.37.17.324 E012.38.50.536 COLOR_TaxiwayBorder ; D + Z + B
N055.37.17.324 E012.38.50.536 N055.37.17.544 E012.38.50.584 COLOR_TaxiwayBorder ; D + Z + B
N055.37.17.544 E012.38.50.584 N055.37.17.681 E012.38.50.687 COLOR_TaxiwayBorder ; D + Z + B
N055.37.17.681 E012.38.50.687 N055.37.18.835 E012.38.52.019 COLOR_TaxiwayBorder ; D + Z + B
N055.37.18.835 E012.38.52.019 N055.37.19.755 E012.38.53.080 COLOR_TaxiwayBorder ; D + Z + B
N055.37.19.755 E012.38.53.080 N055.37.20.167 E012.38.53.822 COLOR_TaxiwayBorder ; D + Z + B
N055.37.20.167 E012.38.53.822 N055.37.20.538 E012.38.54.735 COLOR_TaxiwayBorder ; D + Z + B
N055.37.20.538 E012.38.54.735 N055.37.20.579 E012.38.54.927 COLOR_TaxiwayBorder ; D + Z + B
N055.37.20.579 E012.38.54.927 N055.37.20.538 E012.38.55.418 COLOR_TaxiwayBorder ; D + Z + B
N055.37.20.538 E012.38.55.418 N055.37.20.483 E012.38.55.861 COLOR_TaxiwayBorder ; D + Z + B
N055.37.20.483 E012.38.55.861 N055.37.20.318 E012.38.56.661 COLOR_TaxiwayBorder ; D + Z + B
N055.37.20.318 E012.38.56.661 N055.37.20.098 E012.38.57.509 COLOR_TaxiwayBorder ; D + Z + B
N055.37.20.098 E012.38.57.509 N055.37.19.741 E012.38.58.635 COLOR_TaxiwayBorder ; D + Z + B
N055.37.19.741 E012.38.58.635 N055.37.19.562 E012.38.59.181 COLOR_TaxiwayBorder ; D + Z + B
N055.37.19.562 E012.38.59.181 N055.37.19.041 E012.39.00.441 COLOR_TaxiwayBorder ; D + Z + B
N055.37.19.041 E012.39.00.441 N055.37.18.615 E012.39.01.341 COLOR_TaxiwayBorder ; D + Z + B
N055.37.18.615 E012.39.01.341 N055.37.17.942 E012.39.02.408 COLOR_TaxiwayBorder ; D + Z + B
N055.37.17.942 E012.39.02.408 N055.37.17.709 E012.39.02.635 COLOR_TaxiwayBorder ; D + Z + B
N055.37.17.709 E012.39.02.635 N055.37.17.393 E012.39.02.597 COLOR_TaxiwayBorder ; D + Z + B
N055.37.17.393 E012.39.02.597 N055.37.16.802 E012.39.02.288 COLOR_TaxiwayBorder ; D + Z + B
N055.37.16.802 E012.39.02.288 N055.37.16.706 E012.39.02.195 COLOR_TaxiwayBorder ; D + Z + B
N055.37.16.706 E012.39.02.195 N055.37.16.431 E012.39.01.622 COLOR_TaxiwayBorder ; D + Z + B
N055.37.16.431 E012.39.01.622 N055.37.16.074 E012.39.00.719 COLOR_TaxiwayBorder ; D + Z + B
N055.37.16.074 E012.39.00.719 N055.37.15.882 E012.39.00.026 COLOR_TaxiwayBorder ; D + Z + B
N055.37.15.882 E012.39.00.026 N055.37.15.690 E012.38.59.318 COLOR_TaxiwayBorder ; D + Z + B
N055.37.15.690 E012.38.59.318 N055.37.15.539 E012.38.58.556 COLOR_TaxiwayBorder ; D + Z + B
N055.37.15.539 E012.38.58.556 N055.37.15.415 E012.38.57.633 COLOR_TaxiwayBorder ; D + Z + B
N055.37.15.415 E012.38.57.633 N055.37.15.360 E012.38.56.980 COLOR_TaxiwayBorder ; D + Z + B
N055.37.15.360 E012.38.56.980 N055.37.15.333 E012.38.55.693 COLOR_TaxiwayBorder ; D + Z + B
N055.37.15.333 E012.38.55.693 N055.37.15.388 E012.38.54.831 COLOR_TaxiwayBorder ; D + Z + B
N055.37.15.388 E012.38.54.831 N055.37.15.466 E012.38.54.293 COLOR_TaxiwayBorder ; D + Z + B @ B
N055.37.15.466 E012.38.54.293 N055.37.16.660 E012.38.51.058 COLOR_TaxiwayBorder ; D + Z + B
;
;
;N055.37.14.612 E012.38.56.598 N055.37.14.646 E012.38.57.313 COLOR_TaxiwayBorder ; B + 12 (1) west
;N055.37.14.646 E012.38.57.313 N055.37.14.770 E012.38.58.405 COLOR_TaxiwayBorder ; B + 12 (1)
;N055.37.14.770 E012.38.58.405 N055.37.14.934 E012.38.59.476 COLOR_TaxiwayBorder ; B + 12 (1)
;N055.37.14.934 E012.38.59.476 N055.37.15.154 E012.39.00.444 COLOR_TaxiwayBorder ; B + 12 (1)
;N055.37.15.154 E012.39.00.444 N055.37.15.292 E012.39.00.867 COLOR_TaxiwayBorder ; B + 12 (1)
;N055.37.15.292 E012.39.00.867 N055.37.13.743 E012.38.59.080 COLOR_TaxiwayBorder ; B + 12 (1)
;N055.37.13.743 E012.38.59.080 N055.37.13.740 E012.38.58.955 COLOR_TaxiwayBorder ; B + 12 (1) middle
;N055.37.13.740 E012.38.58.955 N055.37.14.612 E012.38.56.598 COLOR_TaxiwayBorder ; B + 12 (1) ;
;
;
;N055.37.13.287 E012.39.00.178 N055.37.13.355 E012.39.00.165 COLOR_TaxiwayBorder ; B + 12 (2) middle
;N055.37.13.355 E012.39.00.165 N055.37.14.907 E012.39.01.948 COLOR_TaxiwayBorder ; B + 12 (2)
;N055.37.14.907 E012.39.01.948 N055.37.14.152 E012.39.01.934 COLOR_TaxiwayBorder ; B + 12 (2)
;N055.37.14.152 E012.39.01.934 N055.37.13.685 E012.39.01.979 COLOR_TaxiwayBorder ; B + 12 (2)
;N055.37.13.685 E012.39.01.979 N055.37.13.287 E012.39.02.113 COLOR_TaxiwayBorder ; B + 12 (2)
;N055.37.13.287 E012.39.02.113 N055.37.12.875 E012.39.02.288 COLOR_TaxiwayBorder ; B + 12 (2)
;N055.37.12.875 E012.39.02.288 N055.37.12.490 E012.39.02.498 COLOR_TaxiwayBorder ; B + 12 (2)
;N055.37.12.490 E012.39.02.498 N055.37.12.408 E012.39.02.559 COLOR_TaxiwayBorder ; B + 12 (2) east
;N055.37.12.408 E012.39.02.559 N055.37.13.287 E012.39.00.178 COLOR_TaxiwayBorder ; B + 12 (2)
;
;
N055.37.05.469 E012.39.21.327 N055.37.11.538 E012.39.04.911 COLOR_TaxiwayBorder ; B + V + V2 @ V2 > 22L/30
N055.37.11.538 E012.39.04.911 N055.37.12.092 E012.39.04.204 COLOR_TaxiwayBorder ; B + V + V2 @ B
N055.37.12.092 E012.39.04.204 N055.37.12.971 E012.39.03.572 COLOR_TaxiwayBorder ; B + V + V2
N055.37.12.971 E012.39.03.572 N055.37.13.836 E012.39.03.260 COLOR_TaxiwayBorder ; B + V + V2
N055.37.13.836 E012.39.03.260 N055.37.14.729 E012.39.03.160 COLOR_TaxiwayBorder ; B + V + V2
N055.37.14.729 E012.39.03.160 N055.37.15.635 E012.39.03.452 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.635 E012.39.03.452 N055.37.16.047 E012.39.03.655 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.047 E012.39.03.655 N055.37.16.555 E012.39.04.492 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.555 E012.39.04.492 N055.37.16.720 E012.39.05.028 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.720 E012.39.05.028 N055.37.16.747 E012.39.05.526 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.747 E012.39.05.526 N055.37.16.706 E012.39.05.886 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.706 E012.39.05.886 N055.37.16.582 E012.39.06.453 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.582 E012.39.06.453 N055.37.16.184 E012.39.08.042 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.184 E012.39.08.042 N055.37.15.827 E012.39.09.213 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.827 E012.39.09.213 N055.37.15.511 E012.39.10.109 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.511 E012.39.10.109 N055.37.15.360 E012.39.10.748 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.360 E012.39.10.748 N055.37.15.333 E012.39.11.269 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.333 E012.39.11.269 N055.37.15.388 E012.39.11.946 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.388 E012.39.11.946 N055.37.15.484 E012.39.12.430 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.484 E012.39.12.430 N055.37.15.676 E012.39.12.890 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.676 E012.39.12.890 N055.37.15.855 E012.39.13.158 COLOR_TaxiwayBorder ; B + V + V2
N055.37.15.855 E012.39.13.158 N055.37.16.720 E012.39.14.164 COLOR_TaxiwayBorder ; B + V + V2
N055.37.16.720 E012.39.14.164 N055.37.17.022 E012.39.14.332 COLOR_TaxiwayBorder ; B + V + V2
N055.37.17.022 E012.39.14.332 N055.37.17.269 E012.39.14.356 COLOR_TaxiwayBorder ; B + V + V2
N055.37.17.269 E012.39.14.356 N055.37.17.544 E012.39.14.308 COLOR_TaxiwayBorder ; B + V + V2
N055.37.17.544 E012.39.14.308 N055.37.17.901 E012.39.14.112 COLOR_TaxiwayBorder ; B + V + V2
N055.37.17.901 E012.39.14.112 N055.37.18.175 E012.39.13.772 COLOR_TaxiwayBorder ; B + V + V2
N055.37.18.175 E012.39.13.772 N055.37.18.423 E012.39.13.247 COLOR_TaxiwayBorder ; B + V + V2
N055.37.18.423 E012.39.13.247 N055.37.18.848 E012.39.12.038 COLOR_TaxiwayBorder ; B + V + V2
N055.37.18.848 E012.39.12.038 N055.37.19.741 E012.39.10.047 COLOR_TaxiwayBorder ; B + V + V2
N055.37.19.741 E012.39.10.047 N055.37.20.538 E012.39.08.626 COLOR_TaxiwayBorder ; B + V + V2
N055.37.20.538 E012.39.08.626 N055.37.20.785 E012.39.08.423 COLOR_TaxiwayBorder ; B + V + V2
N055.37.20.785 E012.39.08.423 N055.37.21.059 E012.39.08.399 COLOR_TaxiwayBorder ; B + V + V2
N055.37.21.059 E012.39.08.399 N055.37.21.293 E012.39.08.482 COLOR_TaxiwayBorder ; B + V + V2
N055.37.21.293 E012.39.08.482 N055.37.21.513 E012.39.08.712 COLOR_TaxiwayBorder ; B + V + V2
N055.37.21.513 E012.39.08.712 N055.37.21.691 E012.39.09.034 COLOR_TaxiwayBorder ; B + V + V2
N055.37.21.691 E012.39.09.034 N055.37.21.815 E012.39.09.639 COLOR_TaxiwayBorder ; B + V + V2
N055.37.21.815 E012.39.09.639 N055.37.21.993 E012.39.11.067 COLOR_TaxiwayBorder ; B + V + V2
N055.37.21.993 E012.39.11.067 N055.37.22.089 E012.39.12.131 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.089 E012.39.12.131 N055.37.22.158 E012.39.13.158 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.158 E012.39.13.158 N055.37.22.185 E012.39.15.602 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.185 E012.39.15.602 N055.37.22.419 E012.39.32.329 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.419 E012.39.32.329 N055.37.22.446 E012.39.33.503 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.446 E012.39.33.503 N055.37.22.570 E012.39.34.475 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.570 E012.39.34.475 N055.37.22.886 E012.39.36.765 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.886 E012.39.36.765 N055.37.22.900 E012.39.37.372 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.900 E012.39.37.372 N055.37.22.831 E012.39.37.843 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.831 E012.39.37.843 N055.37.22.721 E012.39.38.279 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.721 E012.39.38.279 N055.37.22.515 E012.39.38.653 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.515 E012.39.38.653 N055.37.22.048 E012.39.39.219 COLOR_TaxiwayBorder ; B + V + V2
N055.37.22.048 E012.39.39.219 N055.37.21.293 E012.39.39.875 COLOR_TaxiwayBorder ; B + V + V2
N055.37.21.293 E012.39.39.875 N055.37.20.249 E012.39.40.366 COLOR_TaxiwayBorder ; B + V + V2
N055.37.20.249 E012.39.40.366 N055.37.19.714 E012.39.40.448 COLOR_TaxiwayBorder ; B + V + V2
N055.37.19.714 E012.39.40.448 N055.37.19.137 E012.39.40.462 COLOR_TaxiwayBorder ; B + V + V2
N055.37.19.137 E012.39.40.462 N055.37.18.697 E012.39.40.349 COLOR_TaxiwayBorder ; B + V + V2
N055.37.18.697 E012.39.40.349 N055.37.18.175 E012.39.40.157 COLOR_TaxiwayBorder ; B + V + V2
N055.37.18.175 E012.39.40.157 N055.37.17.475 E012.39.39.717 COLOR_TaxiwayBorder ; B + V + V2
N055.37.17.475 E012.39.39.717 N055.37.17.132 E012.39.39.405 COLOR_TaxiwayBorder ; B + V + V2
N055.37.17.132 E012.39.39.405 N055.37.05.469 E012.39.21.327 COLOR_TaxiwayBorder ; B + V + V2 @ V2 > 22L/30
;
;
N055.37.19.418 E012.39.42.926 N055.37.21.622 E012.39.41.269 COLOR_TaxiwayBorder ; V2 + V1
N055.37.21.622 E012.39.41.269 N055.37.22.872 E012.39.40.435 COLOR_TaxiwayBorder ; V2 + V1
N055.37.22.872 E012.39.40.435 N055.37.24.328 E012.39.39.731 COLOR_TaxiwayBorder ; V2 + V1
N055.37.24.328 E012.39.39.731 N055.37.24.506 E012.39.39.714 COLOR_TaxiwayBorder ; V2 + V1
N055.37.24.506 E012.39.39.714 N055.37.24.740 E012.39.39.731 COLOR_TaxiwayBorder ; V2 + V1
N055.37.24.740 E012.39.39.731 N055.37.24.960 E012.39.39.872 COLOR_TaxiwayBorder ; V2 + V1
N055.37.24.960 E012.39.39.872 N055.37.25.262 E012.39.40.187 COLOR_TaxiwayBorder ; V2 + V1
N055.37.25.262 E012.39.40.187 N055.37.26.415 E012.39.41.537 COLOR_TaxiwayBorder ; V2 + V1
N055.37.26.415 E012.39.41.537 N055.37.29.684 E012.39.46.453 COLOR_TaxiwayBorder ; V2 + V1
N055.37.29.684 E012.39.46.453 N055.37.31.634 E012.39.49.550 COLOR_TaxiwayBorder ; V2 + V1
N055.37.31.634 E012.39.49.550 N055.37.32.609 E012.39.51.205 COLOR_TaxiwayBorder ; V2 + V1
N055.37.32.609 E012.39.51.205 N055.37.33.405 E012.39.52.835 COLOR_TaxiwayBorder ; V2 + V1
N055.37.33.405 E012.39.52.835 N055.37.33.831 E012.39.54.078 COLOR_TaxiwayBorder ; V2 + V1
N055.37.33.831 E012.39.54.078 N055.37.33.804 E012.39.54.095 COLOR_TaxiwayBorder ; V2 + V1
N055.37.33.804 E012.39.54.095 N055.37.33.900 E012.39.54.700 COLOR_TaxiwayBorder ; V2 + V1
N055.37.33.900 E012.39.54.700 N055.37.33.858 E012.39.55.342 COLOR_TaxiwayBorder ; V2 + V1
N055.37.33.858 E012.39.55.342 N055.37.33.652 E012.39.56.210 COLOR_TaxiwayBorder ; V2 + V1
N055.37.33.652 E012.39.56.210 N055.37.33.392 E012.39.57.010 COLOR_TaxiwayBorder ; V2 + V1
N055.37.33.392 E012.39.57.010 N055.37.32.238 E012.39.59.266 COLOR_TaxiwayBorder ; V2 + V1
N055.37.32.238 E012.39.59.266 N055.37.32.032 E012.39.59.578 COLOR_TaxiwayBorder ; V2 + V1
N055.37.32.032 E012.39.59.578 N055.37.31.153 E012.40.00.447 COLOR_TaxiwayBorder ; V2 + V1
N055.37.31.153 E012.40.00.447 N055.37.30.524 E012.40.00.120 COLOR_TaxiwayBorder ; V2 + V1
N055.37.30.524 E012.40.00.120 N055.37.19.418 E012.39.42.926 COLOR_TaxiwayBorder

N055.37.31.947 E012.40.02.320 N055.37.34.442 E012.39.57.303 COLOR_TaxiwayBorder ; V1/22L 
N055.37.34.718 E012.39.56.471 N055.37.34.442 E012.39.57.303 COLOR_TaxiwayBorder ; V1
N055.37.34.913 E012.39.55.495 N055.37.34.718 E012.39.56.471 COLOR_TaxiwayBorder ; V1
N055.37.34.896 E012.39.54.260 N055.37.34.913 E012.39.55.495 COLOR_TaxiwayBorder ; V1
N055.37.34.807 E012.39.53.515 N055.37.34.896 E012.39.54.260 COLOR_TaxiwayBorder ; V1
N055.37.34.548 E012.39.52.541 N055.37.34.807 E012.39.53.515 COLOR_TaxiwayBorder ; V1
N055.37.34.268 E012.39.51.861 N055.37.34.548 E012.39.52.541 COLOR_TaxiwayBorder ; V1
N055.37.31.850 E012.39.48.113 N055.37.34.268 E012.39.51.861 COLOR_TaxiwayBorder ; V1
N055.37.30.958 E012.39.45.705 N055.37.31.850 E012.39.48.113 COLOR_TaxiwayBorder ; V1
N055.37.30.760 E012.39.44.897 N055.37.30.958 E012.39.45.705 COLOR_TaxiwayBorder ; V1
N055.37.30.729 E012.39.44.364 N055.37.30.760 E012.39.44.897 COLOR_TaxiwayBorder ; V1
N055.37.30.958 E012.39.43.610 N055.37.30.729 E012.39.44.364 COLOR_TaxiwayBorder ; V1
N055.37.31.445 E012.39.42.636 N055.37.30.958 E012.39.43.610 COLOR_TaxiwayBorder ; V1->T
N055.37.32.203 E012.39.42.067 N055.37.31.445 E012.39.42.636 COLOR_TaxiwayBorder ; V1->T
N055.37.31.445 E012.39.42.636 N055.37.32.203 E012.39.42.067 COLOR_TaxiwayBorder ; V1->T

N055.37.32.203 E012.39.42.067 N055.37.32.202 E012.39.42.066 COLOR_TaxiwayBorder ; T
N055.37.32.202 E012.39.42.066 N055.37.33.516 E012.39.41.710 COLOR_TaxiwayBorder ; T
N055.37.33.516 E012.39.41.710 N055.37.34.113 E012.39.41.779 COLOR_TaxiwayBorder ; T
N055.37.34.113 E012.39.41.779 N055.37.34.425 E012.39.41.905 COLOR_TaxiwayBorder ; T
N055.37.34.425 E012.39.41.905 N055.37.34.421 E012.39.41.908 COLOR_TaxiwayBorder ; T

N055.37.34.421 E012.39.41.908 N055.37.34.737 E012.39.42.313 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.34.737 E012.39.42.313 N055.37.35.300 E012.39.42.972 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.35.300 E012.39.42.972 N055.37.35.520 E012.39.43.295 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.35.520 E012.39.43.295 N055.37.36.221 E012.39.44.297 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.36.221 E012.39.44.297 N055.37.36.372 E012.39.44.541 COLOR_TaxiwayBorder ; V1 + T + T + S
N055.37.36.372 E012.39.44.541 N055.37.38.500 E012.39.47.816 COLOR_TaxiwayBorder ; E82 - E90
N055.37.38.500 E012.39.47.816 N055.37.36.042 E012.39.52.726 COLOR_TaxiwayBorder ; E82 - E90
N055.37.36.042 E012.39.52.726 N055.37.36.152 E012.39.53.484 COLOR_TaxiwayBorder ; E82 - E90
