;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.37.03.605 E012.38.19.984 N055.36.30.097 E012.37.28.118 COLOR_TaxiwayBorder ; A (outer)
N055.36.30.097 E012.37.28.118 N055.36.28.943 E012.37.26.680 COLOR_TaxiwayBorder ; A (outer)
N055.36.28.943 E012.37.26.680 N055.36.28.133 E012.37.25.938 COLOR_TaxiwayBorder ; A (outer)
N055.36.28.133 E012.37.25.938 N055.36.26.444 E012.37.24.925 COLOR_TaxiwayBorder ; A (outer)
N055.36.26.444 E012.37.24.925 N055.36.25.441 E012.37.24.348 COLOR_TaxiwayBorder ; A (outer)
N055.36.25.441 E012.37.24.348 N055.36.24.411 E012.37.23.494 COLOR_TaxiwayBorder ; A (outer)
N055.36.24.411 E012.37.23.494 N055.36.23.367 E012.37.22.213 COLOR_TaxiwayBorder ; A (outer)
N055.36.23.367 E012.37.22.213 N055.36.18.808 E012.37.15.213 COLOR_TaxiwayBorder ; A (outer)
N055.36.18.808 E012.37.15.213 N055.35.48.060 E012.36.27.666 COLOR_TaxiwayBorder ; A (outer)
N055.35.48.060 E012.36.27.666 N055.35.47.552 E012.36.26.608 COLOR_TaxiwayBorder ; A (outer)
N055.35.47.552 E012.36.26.608 N055.35.47.387 E012.36.26.042 COLOR_TaxiwayBorder ; A (outer)
N055.35.47.387 E012.36.26.042 N055.35.47.305 E012.36.25.081 COLOR_TaxiwayBorder ; A (outer)
N055.35.47.305 E012.36.25.081 N055.35.47.154 E012.36.23.031 COLOR_TaxiwayBorder ; A (outer)
N055.35.47.154 E012.36.23.031 N055.35.46.824 E012.36.15.828 COLOR_TaxiwayBorder ; A (outer)
N055.35.46.824 E012.36.15.828 N055.35.46.742 E012.36.14.990 COLOR_TaxiwayBorder ; A (outer)
N055.35.46.742 E012.36.14.990 N055.35.46.604 E012.36.14.369 COLOR_TaxiwayBorder ; A (outer)
N055.35.46.604 E012.36.14.369 N055.35.46.357 E012.36.13.840 COLOR_TaxiwayBorder ; A (outer)
N055.35.46.357 E012.36.13.840 N055.35.45.808 E012.36.12.821 COLOR_TaxiwayBorder ; A (outer)
N055.35.45.808 E012.36.12.821 N055.35.41.647 E012.36.06.404 COLOR_TaxiwayBorder ; A (outer)
N055.35.41.647 E012.36.06.404 N055.35.40.754 E012.36.05.158 COLOR_TaxiwayBorder ; A (outer)
N055.35.40.754 E012.36.05.158 N055.35.40.438 E012.36.04.883 COLOR_TaxiwayBorder ; A (outer)
N055.35.40.438 E012.36.04.883 N055.35.40.095 E012.36.04.732 COLOR_TaxiwayBorder ; A (outer)
N055.35.40.095 E012.36.04.732 N055.35.39.724 E012.36.04.711 COLOR_TaxiwayBorder ; A (outer)
N055.35.39.724 E012.36.04.711 N055.35.37.678 E012.36.04.763 COLOR_TaxiwayBorder ; A (outer)
N055.35.37.678 E012.36.04.763 N055.35.36.071 E012.36.05.140 COLOR_TaxiwayBorder ; A (outer)
N055.35.36.071 E012.36.05.140 N055.35.35.797 E012.36.05.329 COLOR_TaxiwayBorder ; A (outer)
N055.35.35.797 E012.36.05.329 N055.35.35.467 E012.36.05.772 COLOR_TaxiwayBorder ; A (outer)
