;>>>>> Roenne Airport  <<<<<
N055.03.58.554 E014.44.51.602 N055.03.58.458 E014.44.52.179 COLOR_HardSurface1 ; RWY Turnoff
N055.03.58.458 E014.44.52.179 N055.03.58.485 E014.44.52.759 COLOR_HardSurface1 ; RWY Turnoff
N055.03.58.485 E014.44.52.759 N055.03.58.581 E014.44.53.370 COLOR_HardSurface1 ; RWY Turnoff
N055.03.58.581 E014.44.53.370 N055.03.58.760 E014.44.53.803 COLOR_HardSurface1 ; RWY Turnoff
N055.03.58.760 E014.44.53.803 N055.03.58.952 E014.44.54.132 COLOR_HardSurface1 ; RWY Turnoff
N055.03.58.952 E014.44.54.132 N055.03.59.158 E014.44.54.304 COLOR_HardSurface1 ; RWY Turnoff
N055.03.59.158 E014.44.54.304 N055.03.59.419 E014.44.54.400 COLOR_HardSurface1 ; RWY Turnoff
N055.03.59.419 E014.44.54.400 N055.03.59.639 E014.44.54.414 COLOR_HardSurface1 ; RWY Turnoff
;
N055.04.00.765 E014.44.42.765 N055.04.01.012 E014.44.41.790 COLOR_HardSurface1 ; Main 2
N055.04.01.012 E014.44.41.790 N055.04.01.204 E014.44.41.292 COLOR_HardSurface1 ; Main 2
N055.04.01.204 E014.44.41.292 N055.04.01.493 E014.44.40.911 COLOR_HardSurface1 ; Main 2
N055.04.01.493 E014.44.40.911 N055.04.01.795 E014.44.40.797 COLOR_HardSurface1 ; Main 2
N055.04.01.795 E014.44.40.797 N055.04.02.097 E014.44.40.804 COLOR_HardSurface1 ; Main 2
N055.04.02.097 E014.44.40.804 N055.04.02.317 E014.44.40.942 COLOR_HardSurface1 ; Main 2
N055.04.02.317 E014.44.40.942 N055.04.02.839 E014.44.41.336 COLOR_HardSurface1 ; Main 2
N055.04.02.839 E014.44.41.336 N055.04.03.003 E014.44.41.522 COLOR_HardSurface1 ; Main 2
N055.04.03.003 E014.44.41.522 N055.04.03.168 E014.44.41.704 COLOR_HardSurface1 ; Main 2
N055.04.03.168 E014.44.41.704 N055.04.03.923 E014.44.42.806 COLOR_HardSurface1 ; Main 2
N055.04.03.923 E014.44.42.806 N055.04.04.596 E014.44.45.178 COLOR_HardSurface1 ; Main 2
N055.04.04.596 E014.44.45.178 N055.04.04.747 E014.44.45.556 COLOR_HardSurface1 ; Main 2
N055.04.04.747 E014.44.45.556 N055.04.04.885 E014.44.45.796 COLOR_HardSurface1 ; Main 2
N055.04.04.885 E014.44.45.796 N055.04.08.016 E014.44.50.307 COLOR_HardSurface1 ; Main 2
N055.04.08.016 E014.44.50.307 N055.04.08.236 E014.44.50.568 COLOR_HardSurface1 ; Main 2
N055.04.08.236 E014.44.50.568 N055.04.08.400 E014.44.50.713 COLOR_HardSurface1 ; Main 2
N055.04.08.400 E014.44.50.713 N055.04.11.216 E014.44.52.886 COLOR_HardSurface1 ; Main 2
N055.04.11.216 E014.44.52.886 N055.04.12.507 E014.44.53.840 COLOR_HardSurface1 ; Main 2
;
N055.04.13.317 E014.44.50.950 N055.04.13.221 E014.44.50.877 COLOR_HardSurface1 ; To GA
N055.04.13.221 E014.44.50.877 N055.04.13.166 E014.44.50.850 COLOR_HardSurface1 ; To GA
N055.04.13.166 E014.44.50.850 N055.04.13.111 E014.44.50.857 COLOR_HardSurface1 ; To GA
N055.04.13.111 E014.44.50.857 N055.04.13.083 E014.44.50.884 COLOR_HardSurface1 ; To GA
N055.04.13.083 E014.44.50.884 N055.04.13.056 E014.44.50.929 COLOR_HardSurface1 ; To GA
N055.04.13.056 E014.44.50.929 N055.04.13.028 E014.44.50.991 COLOR_HardSurface1 ; To GA
N055.04.13.028 E014.44.50.991 N055.04.13.001 E014.44.51.056 COLOR_HardSurface1 ; To GA
N055.04.13.001 E014.44.51.056 N055.04.12.960 E014.44.51.183 COLOR_HardSurface1 ; To GA
N055.04.12.960 E014.44.51.183 N055.04.12.479 E014.44.53.068 COLOR_HardSurface1 ; To GA
N055.04.12.479 E014.44.53.068 N055.04.12.438 E014.44.53.219 COLOR_HardSurface1 ; To GA
N055.04.12.438 E014.44.53.219 N055.04.12.369 E014.44.53.342 COLOR_HardSurface1 ; To GA
N055.04.12.369 E014.44.53.342 N055.04.12.301 E014.44.53.425 COLOR_HardSurface1 ; To GA
N055.04.12.301 E014.44.53.425 N055.04.12.232 E014.44.53.476 COLOR_HardSurface1 ; To GA
N055.04.12.232 E014.44.53.476 N055.04.12.136 E014.44.53.500 COLOR_HardSurface1 ; To GA
N055.04.12.136 E014.44.53.500 N055.04.12.053 E014.44.53.487 COLOR_HardSurface1 ; To GA
N055.04.12.053 E014.44.53.487 N055.04.11.902 E014.44.53.395 COLOR_HardSurface1 ; To GA
;
N055.04.03.196 E014.44.54.510 N055.04.03.511 E014.44.54.441 COLOR_HardSurface1 ; Parallel
N055.04.03.511 E014.44.54.441 N055.04.03.978 E014.44.54.149 COLOR_HardSurface1 ; Parallel
N055.04.03.978 E014.44.54.149 N055.04.04.363 E014.44.53.748 COLOR_HardSurface1 ; Parallel
N055.04.04.363 E014.44.53.748 N055.04.04.679 E014.44.53.294 COLOR_HardSurface1 ; Parallel
N055.04.04.679 E014.44.53.294 N055.04.04.926 E014.44.52.790 COLOR_HardSurface1 ; Parallel
N055.04.04.926 E014.44.52.790 N055.04.07.398 E014.44.47.582 COLOR_HardSurface1 ; Parallel
;
N055.04.06.093 E014.44.50.325 N055.04.06.244 E014.44.50.084 COLOR_HardSurface1 ;
N055.04.06.244 E014.44.50.084 N055.04.06.464 E014.44.49.844 COLOR_HardSurface1 ;
N055.04.06.464 E014.44.49.844 N055.04.06.697 E014.44.49.700 COLOR_HardSurface1 ;
N055.04.06.697 E014.44.49.700 N055.04.07.013 E014.44.49.621 COLOR_HardSurface1 ;
N055.04.07.013 E014.44.49.621 N055.04.07.164 E014.44.49.614 COLOR_HardSurface1 ;
;
N055.04.07.343 E014.44.49.861 N055.04.07.370 E014.44.50.239 COLOR_HardSurface1
N055.04.07.370 E014.44.50.239 N055.04.07.398 E014.44.50.637 COLOR_HardSurface1
N055.04.07.398 E014.44.50.637 N055.04.07.370 E014.44.50.991 COLOR_HardSurface1
N055.04.07.370 E014.44.50.991 N055.04.07.288 E014.44.51.410 COLOR_HardSurface1
N055.04.07.288 E014.44.51.410 N055.04.07.123 E014.44.52.065 COLOR_HardSurface1
N055.04.07.123 E014.44.52.065 N055.04.05.901 E014.44.56.940 COLOR_HardSurface1
;
N055.04.05.365 E014.44.55.183 N055.04.05.736 E014.44.56.456 COLOR_HardSurface1 ; To stand
;
N055.04.06.066 E014.44.55.241 N055.04.05.695 E014.44.54.911 COLOR_HardSurface1 ; To stand
N055.04.05.695 E014.44.54.911 N055.04.05.393 E014.44.54.788 COLOR_HardSurface1 ; To stand
N055.04.05.393 E014.44.54.788 N055.04.05.118 E014.44.54.671 COLOR_HardSurface1 ; To stand
N055.04.05.118 E014.44.54.671 N055.04.04.857 E014.44.54.623 COLOR_HardSurface1 ; To stand
;
N055.04.06.038 E014.44.57.418 N055.04.06.134 E014.44.57.758 COLOR_HardSurface1 ; A
N055.04.06.134 E014.44.57.758 N055.04.06.258 E014.44.58.019 COLOR_HardSurface1 ; A
N055.04.06.258 E014.44.58.019 N055.04.06.505 E014.44.58.300 COLOR_HardSurface1 ; A
N055.04.06.505 E014.44.58.300 N055.04.07.096 E014.44.58.767 COLOR_HardSurface1 ; A
N055.04.07.096 E014.44.58.767 N055.04.07.247 E014.44.58.671 COLOR_HardSurface1 ; A
N055.04.07.247 E014.44.58.671 N055.04.07.343 E014.44.58.537 COLOR_HardSurface1 ; A
N055.04.07.343 E014.44.58.537 N055.04.07.467 E014.44.58.067 COLOR_HardSurface1 ; A
N055.04.07.467 E014.44.58.067 N055.04.07.425 E014.44.57.809 COLOR_HardSurface1 ; A
N055.04.07.425 E014.44.57.809 N055.04.07.329 E014.44.57.610 COLOR_HardSurface1 ; A
N055.04.07.329 E014.44.57.610 N055.04.07.219 E014.44.57.517 COLOR_HardSurface1 ; A
;
;
N055.04.06.505 E014.44.55.574 N055.04.07.659 E014.44.56.491 COLOR_HardSurface1 ; A
N055.04.07.659 E014.44.56.491 N055.04.07.824 E014.44.56.347 COLOR_HardSurface1 ; A
N055.04.07.824 E014.44.56.347 N055.04.07.906 E014.44.56.237 COLOR_HardSurface1 ; A
N055.04.07.906 E014.44.56.237 N055.04.08.043 E014.44.55.735 COLOR_HardSurface1 ; A
N055.04.08.043 E014.44.55.735 N055.04.08.016 E014.44.55.488 COLOR_HardSurface1 ; A
N055.04.08.016 E014.44.55.488 N055.04.07.906 E014.44.55.272 COLOR_HardSurface1 ; A
N055.04.07.906 E014.44.55.272 N055.04.07.824 E014.44.55.200 COLOR_HardSurface1 ; A
;
;
N055.04.07.315 E014.44.52.543 N055.04.08.139 E014.44.51.434 COLOR_HardSurface1 ; B
N055.04.08.139 E014.44.51.434 N055.04.08.263 E014.44.51.485 COLOR_HardSurface1 ; B
N055.04.08.263 E014.44.51.485 N055.04.08.414 E014.44.51.588 COLOR_HardSurface1 ; B
N055.04.08.414 E014.44.51.588 N055.04.08.524 E014.44.51.743 COLOR_HardSurface1 ; B
N055.04.08.524 E014.44.51.743 N055.04.08.606 E014.44.51.959 COLOR_HardSurface1 ; B
N055.04.08.606 E014.44.51.959 N055.04.08.675 E014.44.52.165 COLOR_HardSurface1 ; B
N055.04.08.675 E014.44.52.165 N055.04.08.716 E014.44.52.398 COLOR_HardSurface1 ; B
N055.04.08.716 E014.44.52.398 N055.04.08.703 E014.44.52.553 COLOR_HardSurface1 ; B
N055.04.08.703 E014.44.52.553 N055.04.08.661 E014.44.52.714 COLOR_HardSurface1 ; B
N055.04.08.661 E014.44.52.714 N055.04.08.551 E014.44.52.920 COLOR_HardSurface1 ; B
N055.04.08.551 E014.44.52.920 N055.04.08.442 E014.44.53.068 COLOR_HardSurface1 ; B
;
;
N055.04.08.043 E014.44.50.352 N055.04.08.139 E014.44.50.541 COLOR_HardSurface1 ; B
N055.04.08.139 E014.44.50.541 N055.04.08.236 E014.44.50.788 COLOR_HardSurface1 ; B
N055.04.08.236 E014.44.50.788 N055.04.08.332 E014.44.51.128 COLOR_HardSurface1 ; B
N055.04.08.332 E014.44.51.128 N055.04.08.414 E014.44.51.581 COLOR_HardSurface1 ; B
N055.04.08.414 E014.44.51.581 N055.04.08.442 E014.44.51.949 COLOR_HardSurface1 ; B
N055.04.08.442 E014.44.51.949 N055.04.08.455 E014.44.52.292 COLOR_HardSurface1 ; B
N055.04.08.455 E014.44.52.292 N055.04.08.469 E014.44.52.776 COLOR_HardSurface1 ; B
N055.04.08.469 E014.44.52.776 N055.04.08.469 E014.44.52.937 COLOR_HardSurface1 ; B
N055.04.08.469 E014.44.52.937 N055.04.08.442 E014.44.53.068 COLOR_HardSurface1 ; B
N055.04.08.442 E014.44.53.068 N055.04.08.332 E014.44.53.480 COLOR_HardSurface1 ; B
N055.04.08.332 E014.44.53.480 N055.04.08.236 E014.44.53.658 COLOR_HardSurface1 ; B
N055.04.08.236 E014.44.53.658 N055.04.08.112 E014.44.53.682 COLOR_HardSurface1 ; B
N055.04.08.112 E014.44.53.682 N055.04.07.988 E014.44.53.583 COLOR_HardSurface1 ; B
N055.04.07.988 E014.44.53.583 N055.04.07.920 E014.44.53.377 COLOR_HardSurface1 ; B
