N057.05.44.353 E009.52.00.453 N057.05.44.311 E009.52.00.930 COLOR_TaxiwayBorder ; Island BC - TWY B
N057.05.44.311 E009.52.00.930 N057.05.44.174 E009.52.01.360 COLOR_TaxiwayBorder ; Island BC
N057.05.44.174 E009.52.01.360 N057.05.43.844 E009.52.02.060 COLOR_TaxiwayBorder ; Island BC
N057.05.43.844 E009.52.02.060 N057.05.43.569 E009.52.02.434 COLOR_TaxiwayBorder ; Island BC
N057.05.43.569 E009.52.02.434 N057.05.43.199 E009.52.02.702 COLOR_TaxiwayBorder ; Island BC
N057.05.43.199 E009.52.02.702 N057.05.42.265 E009.52.02.863 COLOR_TaxiwayBorder ; Island BC
N057.05.42.265 E009.52.02.863 N057.05.40.013 E009.52.03.358 COLOR_TaxiwayBorder ; Island BC
N057.05.40.013 E009.52.03.358 N057.05.39.614 E009.52.03.265 COLOR_TaxiwayBorder ; Island BC
N057.05.39.614 E009.52.03.265 N057.05.39.299 E009.52.02.994 COLOR_TaxiwayBorder ; Island BC
N057.05.39.299 E009.52.02.994 N057.05.38.983 E009.52.02.592 COLOR_TaxiwayBorder ; Island BC
N057.05.38.983 E009.52.02.592 N057.05.38.790 E009.52.02.245 COLOR_TaxiwayBorder ; Island BC
N057.05.38.790 E009.52.02.245 N057.05.38.653 E009.52.01.864 COLOR_TaxiwayBorder ; Island BC
N057.05.38.653 E009.52.01.864 N057.05.38.547 E009.52.01.420 COLOR_TaxiwayBorder ; Island BC ; RWY south
N057.05.38.547 E009.52.01.420 N057.05.36.726 E009.51.33.262 COLOR_TaxiwayBorder ; Island BC
N057.05.36.726 E009.51.33.262 N057.05.36.730 E009.51.33.053 COLOR_TaxiwayBorder ; Island BC ; RWY south
N057.05.36.730 E009.51.33.053 N057.05.36.785 E009.51.32.610 COLOR_TaxiwayBorder ; Island BC
N057.05.36.785 E009.51.32.610 N057.05.36.923 E009.51.32.078 COLOR_TaxiwayBorder ; Island BC
N057.05.36.923 E009.51.32.078 N057.05.37.115 E009.51.31.525 COLOR_TaxiwayBorder ; Island BC
N057.05.37.115 E009.51.31.525 N057.05.37.898 E009.51.30.443 COLOR_TaxiwayBorder ; Island BC
N057.05.37.898 E009.51.30.443 N057.05.40.013 E009.51.27.429 COLOR_TaxiwayBorder ; Island BC
N057.05.40.013 E009.51.27.429 N057.05.40.878 E009.51.26.248 COLOR_TaxiwayBorder ; Island BC
N057.05.40.878 E009.51.26.248 N057.05.41.084 E009.51.26.104 COLOR_TaxiwayBorder ; Island BC
N057.05.41.084 E009.51.26.104 N057.05.41.317 E009.51.26.069 COLOR_TaxiwayBorder ; Island BC
N057.05.41.317 E009.51.26.069 N057.05.41.647 E009.51.26.207 COLOR_TaxiwayBorder ; Island BC
N057.05.41.647 E009.51.26.207 N057.05.41.921 E009.51.26.488 COLOR_TaxiwayBorder ; Island BC
N057.05.41.921 E009.51.26.488 N057.05.42.100 E009.51.26.811 COLOR_TaxiwayBorder ; Island BC
N057.05.42.100 E009.51.26.811 N057.05.42.164 E009.51.27.009 COLOR_TaxiwayBorder ; Island BC
N057.05.42.164 E009.51.27.009 N057.05.42.215 E009.51.27.298 COLOR_TaxiwayBorder ; Island BC
N057.05.42.215 E009.51.27.298 N057.05.44.353 E009.52.00.453 COLOR_TaxiwayBorder ; RWY 26R / 08L
;
;
;
N057.05.41.900 E009.51.22.381 N057.05.41.867 E009.51.22.846 COLOR_TaxiwayBorder ; Island CD
N057.05.41.867 E009.51.22.846 N057.05.41.757 E009.51.23.247 COLOR_TaxiwayBorder ; Island CD
N057.05.41.757 E009.51.23.247 N057.05.41.606 E009.51.23.573 COLOR_TaxiwayBorder ; Island CD
N057.05.41.606 E009.51.23.573 N057.05.39.573 E009.51.26.406 COLOR_TaxiwayBorder ; Island CD
N057.05.39.573 E009.51.26.406 N057.05.37.005 E009.51.30.038 COLOR_TaxiwayBorder ; Island CD
N057.05.37.005 E009.51.30.038 N057.05.36.854 E009.51.30.145 COLOR_TaxiwayBorder ; Island CD
N057.05.36.854 E009.51.30.145 N057.05.36.662 E009.51.30.103 COLOR_TaxiwayBorder ; Island CD
N057.05.36.662 E009.51.30.103 N057.05.36.579 E009.51.29.983 COLOR_TaxiwayBorder ; Island CD
N057.05.36.579 E009.51.29.983 N057.05.36.524 E009.51.29.808 COLOR_TaxiwayBorder ; Island CD
N057.05.36.524 E009.51.29.808 N057.05.36.487 E009.51.29.555 COLOR_TaxiwayBorder ; Island CD
N057.05.36.487 E009.51.29.555 N057.05.33.572 E009.50.44.469 COLOR_TaxiwayBorder ; RWY 08L / 26R
N057.05.33.572 E009.50.44.469 N057.05.33.572 E009.50.43.669 COLOR_TaxiwayBorder ; Island CD
N057.05.33.572 E009.50.43.669 N057.05.33.627 E009.50.43.236 COLOR_TaxiwayBorder ; Island CD
N057.05.33.627 E009.50.43.236 N057.05.33.778 E009.50.42.653 COLOR_TaxiwayBorder ; Island CD
N057.05.33.778 E009.50.42.653 N057.05.34.080 E009.50.41.829 COLOR_TaxiwayBorder ; Island CD
N057.05.34.080 E009.50.41.829 N057.05.34.396 E009.50.41.132 COLOR_TaxiwayBorder ; Island CD
N057.05.34.396 E009.50.41.132 N057.05.34.808 E009.50.40.452 COLOR_TaxiwayBorder ; Island CD
N057.05.34.808 E009.50.40.452 N057.05.37.321 E009.50.36.744 COLOR_TaxiwayBorder ; Island CD
N057.05.37.321 E009.50.36.744 N057.05.37.651 E009.50.36.404 COLOR_TaxiwayBorder ; Island CD
N057.05.37.651 E009.50.36.404 N057.05.38.049 E009.50.36.281 COLOR_TaxiwayBorder ; Island CD
N057.05.38.049 E009.50.36.281 N057.05.38.420 E009.50.36.411 COLOR_TaxiwayBorder ; Island CD
N057.05.38.420 E009.50.36.411 N057.05.38.653 E009.50.36.610 COLOR_TaxiwayBorder ; Island CD
N057.05.38.653 E009.50.36.610 N057.05.38.859 E009.50.36.991 COLOR_TaxiwayBorder ; Island CD
N057.05.38.859 E009.50.36.991 N057.05.38.980 E009.50.37.427 COLOR_TaxiwayBorder ; Island CD
N057.05.38.980 E009.50.37.427 N057.05.39.020 E009.50.37.700 COLOR_TaxiwayBorder ; Island CD
N057.05.39.020 E009.50.37.700 N057.05.41.900 E009.51.22.381 COLOR_TaxiwayBorder ; RWY 26R / 08L
;
;
N057.05.38.667 E009.50.32.220 N057.05.38.612 E009.50.32.703 COLOR_TaxiwayBorder ; Island DE
N057.05.38.612 E009.50.32.703 N057.05.38.447 E009.50.33.287 COLOR_TaxiwayBorder ; Island DE
N057.05.38.447 E009.50.33.287 N057.05.38.090 E009.50.33.912 COLOR_TaxiwayBorder ; Island DE
