; >>> EKEB - Esbjerg <<<
N055.31.23.317 E008.33.13.747 N055.31.23.399 E008.33.14.070 COLOR_HardSurface1 ; 2
N055.31.23.399 E008.33.14.070 N055.31.23.331 E008.33.14.626 COLOR_HardSurface1 ; 2
N055.31.23.331 E008.33.14.626 N055.31.23.290 E008.33.14.705 COLOR_HardSurface1 ; 2
N055.31.23.290 E008.33.14.705 N055.31.23.207 E008.33.14.705 COLOR_HardSurface1 ; 2
N055.31.23.207 E008.33.14.705 N055.31.23.166 E008.33.14.626 COLOR_HardSurface1 ; 2
N055.31.23.166 E008.33.14.626 N055.31.23.152 E008.33.14.523 COLOR_HardSurface1 ; 2
N055.31.23.152 E008.33.14.523 N055.31.23.207 E008.33.14.039 COLOR_HardSurface1 ; 2
;
;
N055.31.23.042 E008.33.12.834 N055.31.22.754 E008.33.12.823 COLOR_HardSurface1 ; 3
N055.31.22.754 E008.33.12.823 N055.31.22.548 E008.33.12.937 COLOR_HardSurface1 ; 3
N055.31.22.548 E008.33.12.937 N055.31.22.383 E008.33.13.064 COLOR_HardSurface1 ; 3
N055.31.22.383 E008.33.13.064 N055.31.22.260 E008.33.13.335 COLOR_HardSurface1 ; 3
N055.31.22.260 E008.33.13.335 N055.31.22.356 E008.33.13.740 COLOR_HardSurface1 ; 3
N055.31.22.356 E008.33.13.740 N055.31.22.273 E008.33.14.337 COLOR_HardSurface1 ; 3
N055.31.22.273 E008.33.14.337 N055.31.22.205 E008.33.14.423 COLOR_HardSurface1 ; 3
N055.31.22.205 E008.33.14.423 N055.31.22.136 E008.33.14.454 COLOR_HardSurface1 ; 3
N055.31.22.136 E008.33.14.454 N055.31.22.081 E008.33.14.379 COLOR_HardSurface1 ; 3
N055.31.22.081 E008.33.14.379 N055.31.22.067 E008.33.14.241 COLOR_HardSurface1 ; 3
N055.31.22.067 E008.33.14.241 N055.31.22.136 E008.33.13.702 COLOR_HardSurface1 ; 3
;
;
N055.31.21.752 E008.33.12.494 N055.31.21.546 E008.33.12.542 COLOR_HardSurface1 ; 4
N055.31.21.546 E008.33.12.542 N055.31.21.394 E008.33.12.707 COLOR_HardSurface1 ; 4
N055.31.21.394 E008.33.12.707 N055.31.21.271 E008.33.12.899 COLOR_HardSurface1 ; 4
N055.31.21.271 E008.33.12.899 N055.31.21.188 E008.33.13.198 COLOR_HardSurface1 ; 4
N055.31.21.188 E008.33.13.198 N055.31.21.230 E008.33.13.623 COLOR_HardSurface1 ; 4
N055.31.21.230 E008.33.13.623 N055.31.21.188 E008.33.14.028 COLOR_HardSurface1 ; 4
N055.31.21.188 E008.33.14.028 N055.31.21.134 E008.33.14.114 COLOR_HardSurface1 ; 4
N055.31.21.134 E008.33.14.114 N055.31.21.065 E008.33.14.124 COLOR_HardSurface1 ; 4
N055.31.21.065 E008.33.14.124 N055.31.21.010 E008.33.14.080 COLOR_HardSurface1 ; 4
N055.31.21.010 E008.33.14.080 N055.31.20.982 E008.33.13.980 COLOR_HardSurface1 ; 4
N055.31.20.982 E008.33.13.980 N055.31.21.024 E008.33.13.517 COLOR_HardSurface1 ; 4
;
;
N055.31.20.982 E008.33.11.838 N055.31.20.941 E008.33.11.423 COLOR_HardSurface1 ; TWY F
N055.31.20.941 E008.33.11.423 N055.31.20.873 E008.33.11.344 COLOR_HardSurface1 ; TWY F
N055.31.20.873 E008.33.11.344 N055.31.20.804 E008.33.11.354 COLOR_HardSurface1 ; TWY F
N055.31.20.804 E008.33.11.354 N055.31.20.749 E008.33.11.450 COLOR_HardSurface1 ; TWY F
N055.31.20.749 E008.33.11.450 N055.31.20.735 E008.33.11.587 COLOR_HardSurface1 ; TWY F
N055.31.20.735 E008.33.11.587 N055.31.20.763 E008.33.11.951 COLOR_HardSurface1 ; TWY F
N055.31.20.763 E008.33.11.951 N055.31.20.900 E008.33.12.185 COLOR_HardSurface1 ; TWY F
N055.31.20.900 E008.33.12.185 N055.31.21.079 E008.33.12.312 COLOR_HardSurface1 ; TWY F
N055.31.21.079 E008.33.12.312 N055.31.26.572 E008.33.13.757 COLOR_HardSurface1 ; TWY F
;
;
N055.31.27.000 E008.33.12.000 N055.31.26.930 E008.33.11.300 COLOR_HardSurface1 ; Heli route west
N055.31.26.930 E008.33.11.300 N055.31.31.275 E008.33.00.000 COLOR_HardSurface1 ; Heli route west
;
N055.31.27.425 E008.33.15.850 N055.31.27.500 E008.33.16.500 COLOR_HardSurface1 ; Heli route east
N055.31.27.500 E008.33.16.500 N055.31.33.900 E008.33.25.000 COLOR_HardSurface1 ; Heli route east
