; >>> EKEB - Esbjerg <<<
N055.31.22.727 E008.33.26.783 N055.31.22.946 E008.33.26.494 COLOR_TaxiwayBorder ; outer
N055.31.22.946 E008.33.26.494 N055.31.23.015 E008.33.25.811 COLOR_TaxiwayBorder ; outer
N055.31.23.015 E008.33.25.811 N055.31.22.946 E008.33.25.633 COLOR_TaxiwayBorder ; outer
N055.31.22.946 E008.33.25.633 N055.31.20.859 E008.33.25.056 COLOR_TaxiwayBorder ; outer
N055.31.20.859 E008.33.25.056 N055.31.20.928 E008.33.23.902 COLOR_TaxiwayBorder ; outer
N055.31.20.928 E008.33.23.902 N055.31.20.859 E008.33.23.614 COLOR_TaxiwayBorder ; outer
N055.31.20.859 E008.33.23.614 N055.31.20.639 E008.33.23.542 COLOR_TaxiwayBorder ; outer
N055.31.20.639 E008.33.23.542 N055.31.20.749 E008.33.22.536 COLOR_TaxiwayBorder ; outer
N055.31.20.749 E008.33.22.536 N055.31.21.340 E008.33.22.649 COLOR_TaxiwayBorder ; outer
N055.31.21.340 E008.33.22.649 N055.31.21.175 E008.33.24.551 COLOR_TaxiwayBorder ; outer
N055.31.21.175 E008.33.24.551 N055.31.21.230 E008.33.24.716 COLOR_TaxiwayBorder ; outer
N055.31.21.230 E008.33.24.716 N055.31.21.642 E008.33.24.802 COLOR_TaxiwayBorder ; outer
N055.31.21.642 E008.33.24.802 N055.31.21.752 E008.33.23.724 COLOR_TaxiwayBorder ; outer
N055.31.21.752 E008.33.23.724 N055.31.21.573 E008.33.23.185 COLOR_TaxiwayBorder ; outer
N055.31.21.573 E008.33.23.185 N055.31.21.628 E008.33.22.701 COLOR_TaxiwayBorder ; outer
N055.31.21.628 E008.33.22.701 N055.31.21.765 E008.33.22.738 COLOR_TaxiwayBorder ; outer
N055.31.21.765 E008.33.22.738 N055.31.21.724 E008.33.23.147 COLOR_TaxiwayBorder ; outer
N055.31.21.724 E008.33.23.147 N055.31.21.765 E008.33.23.281 COLOR_TaxiwayBorder ; outer
N055.31.21.765 E008.33.23.281 N055.31.21.834 E008.33.23.363 COLOR_TaxiwayBorder ; outer
N055.31.21.834 E008.33.23.363 N055.31.21.916 E008.33.23.367 COLOR_TaxiwayBorder ; outer
N055.31.21.916 E008.33.23.367 N055.31.21.971 E008.33.23.257 COLOR_TaxiwayBorder ; outer
N055.31.21.971 E008.33.23.257 N055.31.22.040 E008.33.22.787 COLOR_TaxiwayBorder ; outer
N055.31.22.040 E008.33.22.787 N055.31.22.191 E008.33.22.824 COLOR_TaxiwayBorder ; outer
N055.31.22.191 E008.33.22.824 N055.31.22.122 E008.33.23.401 COLOR_TaxiwayBorder ; outer
N055.31.22.122 E008.33.23.401 N055.31.21.903 E008.33.23.758 COLOR_TaxiwayBorder ; outer
N055.31.21.903 E008.33.23.758 N055.31.21.806 E008.33.24.757 COLOR_TaxiwayBorder ; outer
N055.31.21.806 E008.33.24.757 N055.31.21.889 E008.33.24.901 COLOR_TaxiwayBorder ; outer
N055.31.21.889 E008.33.24.901 N055.31.22.452 E008.33.25.049 COLOR_TaxiwayBorder ; outer
N055.31.22.452 E008.33.25.049 N055.31.22.548 E008.33.23.974 COLOR_TaxiwayBorder ; outer
N055.31.22.548 E008.33.23.974 N055.31.22.699 E008.33.24.016 COLOR_TaxiwayBorder ; outer
N055.31.22.699 E008.33.24.016 N055.31.22.617 E008.33.25.094 COLOR_TaxiwayBorder ; outer
N055.31.22.617 E008.33.25.094 N055.31.23.729 E008.33.25.379 COLOR_TaxiwayBorder ; outer
N055.31.23.729 E008.33.25.379 N055.31.23.880 E008.33.23.686 COLOR_TaxiwayBorder ; outer
N055.31.23.880 E008.33.23.686 N055.31.24.745 E008.33.23.902 COLOR_TaxiwayBorder ; outer
N055.31.24.745 E008.33.23.902 N055.31.24.690 E008.33.24.349 COLOR_TaxiwayBorder ; outer
N055.31.24.690 E008.33.24.349 N055.31.24.196 E008.33.25.049 COLOR_TaxiwayBorder ; outer
N055.31.24.196 E008.33.25.049 N055.31.24.169 E008.33.25.488 COLOR_TaxiwayBorder ; outer
N055.31.24.169 E008.33.25.488 N055.31.26.187 E008.33.26.027 COLOR_TaxiwayBorder ; outer
N055.31.26.187 E008.33.26.027 N055.31.26.283 E008.33.26.021 COLOR_TaxiwayBorder ; outer
N055.31.26.283 E008.33.26.021 N055.31.26.393 E008.33.25.983 COLOR_TaxiwayBorder ; outer
N055.31.26.393 E008.33.25.983 N055.31.26.462 E008.33.25.876 COLOR_TaxiwayBorder ; outer
N055.31.26.462 E008.33.25.876 N055.31.26.503 E008.33.25.674 COLOR_TaxiwayBorder ; outer
N055.31.26.503 E008.33.25.674 N055.31.26.228 E008.33.22.718 COLOR_TaxiwayBorder ; outer
N055.31.26.228 E008.33.22.718 N055.31.26.174 E008.33.22.440 COLOR_TaxiwayBorder ; outer
N055.31.26.174 E008.33.22.440 N055.31.26.077 E008.33.22.275 COLOR_TaxiwayBorder ; outer
N055.31.26.077 E008.33.22.275 N055.31.25.171 E008.33.21.959 COLOR_TaxiwayBorder ; outer
N055.31.25.171 E008.33.21.959 N055.31.25.212 E008.33.21.708 COLOR_TaxiwayBorder ; outer
N055.31.25.212 E008.33.21.708 N055.31.25.665 E008.33.21.870 COLOR_TaxiwayBorder ; outer
N055.31.25.665 E008.33.21.870 N055.31.25.830 E008.33.21.853 COLOR_TaxiwayBorder ; outer
