; >>> EKAH - aarhus <<<
N056.18.28.644 E010.37.14.663 N056.18.28.520 E010.37.15.906 COLOR_TaxiwayBorder ; Apron
N056.18.28.520 E010.37.15.906 N056.18.29.426 E010.37.16.184 COLOR_TaxiwayBorder ; Apron
N056.18.29.426 E010.37.16.184 N056.18.29.220 E010.37.18.124 COLOR_TaxiwayBorder ; Apron
N056.18.29.220 E010.37.18.124 N056.18.28.328 E010.37.17.849 COLOR_TaxiwayBorder ; Apron
N056.18.28.328 E010.37.17.849 N056.18.28.163 E010.37.19.494 COLOR_TaxiwayBorder ; Apron
N056.18.28.163 E010.37.19.494 N056.18.28.396 E010.37.19.573 COLOR_TaxiwayBorder ; Apron
N056.18.28.396 E010.37.19.573 N056.18.29.069 E010.37.20.510 COLOR_TaxiwayBorder ; Apron
N056.18.29.069 E010.37.20.510 N056.18.29.564 E010.37.20.651 COLOR_TaxiwayBorder ; Apron
N056.18.29.564 E010.37.20.651 N056.18.29.193 E010.37.24.307 COLOR_TaxiwayBorder ; Apron
N056.18.29.193 E010.37.24.307 N056.18.28.699 E010.37.24.204 COLOR_TaxiwayBorder ; Apron
N056.18.28.699 E010.37.24.204 N056.18.28.616 E010.37.26.566 COLOR_TaxiwayBorder ; Apron
N056.18.28.616 E010.37.26.566 N056.18.31.198 E010.37.27.184 COLOR_TaxiwayBorder ; Apron
N056.18.31.198 E010.37.27.184 N056.18.30.662 E010.37.30.587 COLOR_TaxiwayBorder ; Apron
N056.18.30.662 E010.37.30.587 N056.18.30.882 E010.37.30.755 COLOR_TaxiwayBorder ; Apron
N056.18.30.882 E010.37.30.755 N056.18.30.346 E010.37.32.018 COLOR_TaxiwayBorder ; Apron
N056.18.30.346 E010.37.32.018 N056.18.29.042 E010.37.31.582 COLOR_TaxiwayBorder ; Apron
N056.18.29.042 E010.37.31.582 N056.18.27.531 E010.37.30.964 COLOR_TaxiwayBorder
N056.18.27.531 E010.37.30.964 N056.18.27.408 E010.37.31.754 COLOR_TaxiwayBorder ; Apron
N056.18.27.408 E010.37.31.754 N056.18.25.842 E010.37.46.448 COLOR_TaxiwayBorder ; Apron
N056.18.25.842 E010.37.46.448 N056.18.25.622 E010.37.46.115 COLOR_TaxiwayBorder ; Apron
N056.18.25.622 E010.37.46.115 N056.18.25.471 E010.37.46.019 COLOR_TaxiwayBorder ; Apron
N056.18.25.471 E010.37.46.019 N056.18.23.576 E010.37.46.839 COLOR_TaxiwayBorder ; Apron
N056.18.23.576 E010.37.46.839 N056.18.21.571 E010.37.49.205 COLOR_TaxiwayBorder ; Apron
N056.18.21.571 E010.37.49.205 N056.18.16.298 E010.37.47.502 COLOR_TaxiwayBorder ; Apron
N056.18.16.298 E010.37.47.502 N056.18.16.051 E010.37.47.574 COLOR_TaxiwayBorder ; Apron
N056.18.16.051 E010.37.47.574 N056.18.15.858 E010.37.47.718 COLOR_TaxiwayBorder ; Apron
N056.18.15.858 E010.37.47.718 N056.18.15.693 E010.37.47.931 COLOR_TaxiwayBorder ; Apron
N056.18.15.693 E010.37.47.931 N056.18.15.529 E010.37.48.196 COLOR_TaxiwayBorder ; Apron
N056.18.15.529 E010.37.48.196 N056.18.15.433 E010.37.48.467 COLOR_TaxiwayBorder ; Apron
N056.18.15.433 E010.37.48.467 N056.18.15.303 E010.37.49.091 COLOR_TaxiwayBorder ; Apron
;
;
N056.18.10.387 E010.38.30.780 N056.18.09.459 E010.38.30.016 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.09.459 E010.38.30.016 N056.18.08.566 E010.38.30.644 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.08.566 E010.38.30.644 N056.18.07.825 E010.38.30.445 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.07.825 E010.38.30.445 N056.18.07.220 E010.38.30.036 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.07.220 E010.38.30.036 N056.18.06.753 E010.38.29.635 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.06.753 E010.38.29.635 N056.18.06.314 E010.38.29.147 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.06.314 E010.38.29.147 N056.18.05.847 E010.38.28.406 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.05.847 E010.38.28.406 N056.18.05.710 E010.38.28.114 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.05.710 E010.38.28.114 N056.18.05.435 E010.38.26.480 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.05.435 E010.38.26.480 N056.18.05.119 E010.38.26.188 COLOR_TaxiwayBorder ; TWY X Outer
N056.18.05.119 E010.38.26.188 N056.18.04.858 E010.38.26.105 COLOR_TaxiwayBorder ; TWY X Outer
;
;
