; >>> EKBI - Billund <<<
;
; RWY External lines
N055.44.33.083 E009.09.01.025 N055.44.32.891 E009.09.00.788 COLOR_TaxiwayBorder ; North Term
N055.44.32.891 E009.09.00.788 N055.44.32.891 E009.09.00.781 COLOR_TaxiwayBorder ; North Term
N055.44.32.891 E009.09.00.781 N055.44.32.657 E009.09.00.681 COLOR_TaxiwayBorder ; North Term
N055.44.32.657 E009.09.00.681 N055.44.32.410 E009.09.00.626 COLOR_TaxiwayBorder ; North Term
N055.44.32.410 E009.09.00.626 N055.44.32.177 E009.09.00.695 COLOR_TaxiwayBorder ; North Term
N055.44.32.177 E009.09.00.695 N055.44.31.943 E009.09.00.880 COLOR_TaxiwayBorder ; North Term
N055.44.31.943 E009.09.00.880 N055.44.31.751 E009.09.01.189 COLOR_TaxiwayBorder ; North Term
N055.44.31.751 E009.09.01.189 N055.44.31.627 E009.09.01.536 COLOR_TaxiwayBorder ; North Term
N055.44.31.627 E009.09.01.536 N055.44.31.572 E009.09.01.958 COLOR_TaxiwayBorder ; North Term
N055.44.31.572 E009.09.01.958 N055.44.31.504 E009.09.02.765 COLOR_TaxiwayBorder ; North Term
N055.44.31.504 E009.09.02.765 N055.44.31.504 E009.09.03.775 COLOR_TaxiwayBorder ; North Term
N055.44.31.504 E009.09.03.775 N055.44.31.531 E009.09.07.091 COLOR_TaxiwayBorder ; North Term
N055.44.31.531 E009.09.07.091 N055.44.34.607 E009.10.47.733 COLOR_TaxiwayBorder ; North Term
N055.44.34.607 E009.10.47.733 N055.44.34.594 E009.10.48.684 COLOR_TaxiwayBorder ; North Term
N055.44.34.594 E009.10.48.684 N055.44.34.539 E009.10.49.401 COLOR_TaxiwayBorder ; North Term
N055.44.34.539 E009.10.49.401 N055.44.34.401 E009.10.50.133 COLOR_TaxiwayBorder ; North Term
N055.44.34.401 E009.10.50.133 N055.44.34.209 E009.10.50.878 COLOR_TaxiwayBorder ; North Term
N055.44.34.209 E009.10.50.878 N055.44.33.838 E009.10.51.781 COLOR_TaxiwayBorder ; North Term
N055.44.33.838 E009.10.51.781 N055.44.33.413 E009.10.52.536 COLOR_TaxiwayBorder ; North Term
N055.44.33.413 E009.10.52.536 N055.44.32.973 E009.10.53.096 COLOR_TaxiwayBorder ; North Term
N055.44.32.973 E009.10.53.096 N055.44.32.424 E009.10.53.504 COLOR_TaxiwayBorder ; North Term
N055.44.32.424 E009.10.53.504 N055.44.31.888 E009.10.53.744 COLOR_TaxiwayBorder ; North Term
N055.44.31.888 E009.10.53.744 N055.44.31.394 E009.10.53.827 COLOR_TaxiwayBorder ; North Term
N055.44.31.394 E009.10.53.827 N055.44.29.128 E009.10.54.084 COLOR_TaxiwayBorder ; North Term
;
;
N055.44.24.454 E009.09.07.912 N055.44.24.266 E009.09.05.457 COLOR_TaxiwayBorder ; South Term ; Start at west
N055.44.24.266 E009.09.05.457 N055.44.23.978 E009.09.03.243 COLOR_TaxiwayBorder ; South Term
N055.44.23.978 E009.09.03.243 N055.44.23.607 E009.09.01.183 COLOR_TaxiwayBorder ; South Term
N055.44.23.607 E009.09.01.183 N055.44.23.072 E009.08.58.896 COLOR_TaxiwayBorder ; South Term
N055.44.23.072 E009.08.58.896 N055.44.22.454 E009.08.56.881 COLOR_TaxiwayBorder ; South Term
N055.44.22.454 E009.08.56.881 N055.44.20.902 E009.08.52.194 COLOR_TaxiwayBorder ; South Term
N055.44.20.902 E009.08.52.194 N055.44.20.627 E009.08.51.384 COLOR_TaxiwayBorder ; South Term
N055.44.20.627 E009.08.51.384 N055.44.20.531 E009.08.51.206 COLOR_TaxiwayBorder ; South Term
N055.44.20.531 E009.08.51.206 N055.44.20.408 E009.08.51.092 COLOR_TaxiwayBorder ; South Term
N055.44.20.408 E009.08.51.092 N055.44.20.270 E009.08.51.061 COLOR_TaxiwayBorder ; South Term
N055.44.20.270 E009.08.51.061 N055.44.20.105 E009.08.51.103 COLOR_TaxiwayBorder ; South Term
N055.44.20.105 E009.08.51.103 N055.44.18.210 E009.08.53.025 COLOR_TaxiwayBorder ; South Term
N055.44.18.210 E009.08.53.025 N055.44.17.936 E009.08.53.245 COLOR_TaxiwayBorder ; South Term
N055.44.17.936 E009.08.53.245 N055.44.17.606 E009.08.53.465 COLOR_TaxiwayBorder ; South Term
N055.44.17.606 E009.08.53.465 N055.44.17.235 E009.08.53.660 COLOR_TaxiwayBorder ; South Term
N055.44.17.235 E009.08.53.660 N055.44.16.919 E009.08.53.784 COLOR_TaxiwayBorder ; South Term
N055.44.16.919 E009.08.53.784 N055.44.16.631 E009.08.53.863 COLOR_TaxiwayBorder ; South Term
N055.44.16.631 E009.08.53.863 N055.44.13.926 E009.08.54.141 COLOR_TaxiwayBorder ; South Term
N055.44.13.926 E009.08.54.141 N055.44.13.692 E009.08.54.193 COLOR_TaxiwayBorder ; South Term
N055.44.13.692 E009.08.54.193 N055.44.12.813 E009.08.54.560 COLOR_TaxiwayBorder ; South Term
N055.44.12.813 E009.08.54.560 N055.44.12.717 E009.08.54.653 COLOR_TaxiwayBorder ; South Term
N055.44.12.717 E009.08.54.653 N055.44.12.648 E009.08.54.786 COLOR_TaxiwayBorder ; South Term
N055.44.12.648 E009.08.54.786 N055.44.12.607 E009.08.54.934 COLOR_TaxiwayBorder ; South Term
N055.44.12.607 E009.08.54.934 N055.44.12.525 E009.08.57.042 COLOR_TaxiwayBorder ; South Term
N055.44.12.525 E009.08.57.042 N055.44.12.951 E009.09.11.084 COLOR_TaxiwayBorder ; South Term
N055.44.12.951 E009.09.11.084 N055.44.12.484 E009.09.11.125 COLOR_TaxiwayBorder ; End og GA east TWY
N055.44.12.484 E009.09.11.125 N055.44.12.470 E009.09.10.744 COLOR_TaxiwayBorder ; South Term
N055.44.12.470 E009.09.10.744 N055.44.12.415 E009.09.10.583 COLOR_TaxiwayBorder ; South Term
N055.44.12.415 E009.09.10.583 N055.44.12.305 E009.09.10.401 COLOR_TaxiwayBorder ; South Term
N055.44.12.305 E009.09.10.401 N055.44.12.099 E009.09.10.270 COLOR_TaxiwayBorder ; South Term
N055.44.12.099 E009.09.10.270 N055.44.12.113 E009.09.10.277 COLOR_TaxiwayBorder ; South Term
N055.44.12.113 E009.09.10.277 N055.44.11.907 E009.09.10.229 COLOR_TaxiwayBorder ; South Term
N055.44.11.907 E009.09.10.229 N055.44.11.467 E009.09.10.215 COLOR_TaxiwayBorder ; South Term
N055.44.11.467 E009.09.10.215 N055.44.04.615 E009.09.10.851 COLOR_TaxiwayBorder ; South Term
N055.44.04.615 E009.09.10.851 N055.44.04.560 E009.09.09.082 COLOR_TaxiwayBorder ; South Term
N055.44.04.560 E009.09.09.082 N055.44.03.777 E009.09.06.978 COLOR_TaxiwayBorder ; South Term
N055.44.03.777 E009.09.06.978 N055.44.03.681 E009.09.04.798 COLOR_TaxiwayBorder ; South Term
N055.44.03.681 E009.09.04.798 N055.44.06.441 E009.09.04.516 COLOR_TaxiwayBorder ; South Term
N055.44.06.441 E009.09.04.516 N055.44.06.510 E009.09.06.744 COLOR_TaxiwayBorder ; South Term
N055.44.06.510 E009.09.06.744 N055.44.05.823 E009.09.08.990 COLOR_TaxiwayBorder ; South Term
N055.44.05.823 E009.09.08.990 N055.44.05.851 E009.09.10.023 COLOR_TaxiwayBorder ; South Term
N055.44.05.851 E009.09.10.023 N055.44.11.426 E009.09.09.525 COLOR_TaxiwayBorder ; South Term
N055.44.11.426 E009.09.09.525 N055.44.12.154 E009.09.09.268 COLOR_TaxiwayBorder ; South Term
N055.44.12.154 E009.09.09.268 N055.44.12.291 E009.09.09.113 COLOR_TaxiwayBorder ; South Term
N055.44.12.291 E009.09.09.113 N055.44.12.388 E009.09.08.873 COLOR_TaxiwayBorder ; South Term
N055.44.12.388 E009.09.08.873 N055.44.12.388 E009.09.08.588 COLOR_TaxiwayBorder ; South Term
N055.44.12.388 E009.09.08.588 N055.44.12.223 E009.09.06.576 COLOR_TaxiwayBorder ; South Term
N055.44.12.223 E009.09.06.576 N055.44.12.154 E009.09.06.394 COLOR_TaxiwayBorder ; South Term
N055.44.12.154 E009.09.06.394 N055.44.12.085 E009.09.06.295 COLOR_TaxiwayBorder ; South Term
N055.44.12.085 E009.09.06.295 N055.44.11.316 E009.09.06.243 COLOR_TaxiwayBorder ; South Term
N055.44.11.316 E009.09.06.243 N055.44.11.358 E009.09.07.768 COLOR_TaxiwayBorder ; South Term
N055.44.11.358 E009.09.07.768 N055.44.10.973 E009.09.07.774 COLOR_TaxiwayBorder ; South Term
N055.44.10.973 E009.09.07.774 N055.44.10.932 E009.09.06.288 COLOR_TaxiwayBorder ; South Term
N055.44.10.932 E009.09.06.288 N055.44.10.300 E009.09.06.350 COLOR_TaxiwayBorder ; South Term
N055.44.10.300 E009.09.06.350 N055.44.10.328 E009.09.07.829 COLOR_TaxiwayBorder ; South Term
N055.44.10.328 E009.09.07.829 N055.44.09.943 E009.09.07.881 COLOR_TaxiwayBorder ; South Term
N055.44.09.943 E009.09.07.881 N055.44.09.902 E009.09.06.374 COLOR_TaxiwayBorder ; South Term
N055.44.09.902 E009.09.06.374 N055.44.09.559 E009.09.06.398 COLOR_TaxiwayBorder ; South Term
N055.44.09.559 E009.09.06.398 N055.44.09.586 E009.09.07.912 COLOR_TaxiwayBorder ; South Term
N055.44.09.586 E009.09.07.912 N055.44.08.075 E009.09.08.052 COLOR_TaxiwayBorder ; South Term
N055.44.08.075 E009.09.08.052 N055.44.07.952 E009.09.04.987 COLOR_TaxiwayBorder ; South Term
N055.44.07.952 E009.09.04.987 N055.44.09.504 E009.09.04.846 COLOR_TaxiwayBorder ; South Term
N055.44.09.504 E009.09.04.846 N055.44.09.517 E009.09.05.316 COLOR_TaxiwayBorder ; South Term
N055.44.09.517 E009.09.05.316 N055.44.11.316 E009.09.05.175 COLOR_TaxiwayBorder ; South Term
N055.44.11.316 E009.09.05.175 N055.44.11.962 E009.09.04.997 COLOR_TaxiwayBorder ; South Term
N055.44.11.962 E009.09.04.997 N055.44.12.058 E009.09.04.908 COLOR_TaxiwayBorder ; South Term
N055.44.12.058 E009.09.04.908 N055.44.12.127 E009.09.04.781 COLOR_TaxiwayBorder ; South Term
N055.44.12.127 E009.09.04.781 N055.44.12.154 E009.09.04.650 COLOR_TaxiwayBorder ; South Term
N055.44.12.154 E009.09.04.650 N055.44.12.209 E009.09.02.491 COLOR_TaxiwayBorder ; South Term
